class,image_path,name,xmax,xmin,ymax,ymin,confidence
7,ffec05b841277940e40de657722e6892.jpg,BAD_BILLBOARD,960.0,876.1862182617188,223.30307006835938,150.92990112304688,0.6398159265518188
7,ffec05b841277940e40de657722e6892.jpg,BAD_BILLBOARD,917.4306030273438,830.63427734375,227.0087127685547,168.6005096435547,0.6319629549980164
0,ffe097c41e8ecfd403bad97ec728ab4c.jpg,GRAFFITI,274.3403015136719,174.20083618164062,215.3470916748047,158.94259643554688,0.6707645654678345
3,ffe097c41e8ecfd403bad97ec728ab4c.jpg,GARBAGE,552.8240356445312,483.4172058105469,293.0596618652344,234.16477966308594,0.4224683344364166
3,ffd8089216c7915c927a7203ece10f8d.jpg,GARBAGE,427.525634765625,318.72747802734375,366.0137939453125,296.186767578125,0.6610586643218994
9,ffd8089216c7915c927a7203ece10f8d.jpg,CLUTTER_SIDEWALK,667.1091918945312,32.82658386230469,540.0,181.69569396972656,0.6491038203239441
3,ffd8089216c7915c927a7203ece10f8d.jpg,GARBAGE,229.70802307128906,88.71688842773438,415.9729919433594,325.6777648925781,0.6320651173591614
3,ffd8089216c7915c927a7203ece10f8d.jpg,GARBAGE,776.996826171875,552.2271118164062,438.99932861328125,335.4564208984375,0.5657431483268738
9,ffd8089216c7915c927a7203ece10f8d.jpg,CLUTTER_SIDEWALK,874.3311767578125,246.78746032714844,539.5198974609375,206.0784912109375,0.5633705854415894
4,ffbdec8087e32cf3fae7e7d00eefbae6.jpg,CONSTRUCTION_ROAD,443.10626220703125,5.0574822425842285,380.1106262207031,92.16355895996094,0.7426191568374634
4,ffbdec8087e32cf3fae7e7d00eefbae6.jpg,CONSTRUCTION_ROAD,660.5910034179688,206.47409057617188,392.6528625488281,71.84304809570312,0.6459075212478638
3,ff8e79d02cd5209d5340278081239b57.jpg,GARBAGE,871.1166381835938,782.1280517578125,348.06365966796875,285.3671875,0.6657608151435852
2,ff70d044ebc529c4664193f29a1981d6.jpg,POTHOLES,953.1190795898438,680.5661010742188,533.1878051757812,355.9208679199219,0.5677319765090942
7,ff306c2bc77378f8f66dde8dee70f167.jpg,BAD_BILLBOARD,731.0007934570312,460.3367614746094,196.45603942871094,80.01180267333984,0.7975081205368042
3,ff306c2bc77378f8f66dde8dee70f167.jpg,GARBAGE,383.3597412109375,321.1131286621094,218.91127014160156,176.67428588867188,0.6899779438972473
9,ff22fbd2212505b594b65615746d2729.jpg,CLUTTER_SIDEWALK,925.691650390625,413.7843322753906,322.6646423339844,180.86659240722656,0.5144683122634888
9,ff22fbd2212505b594b65615746d2729.jpg,CLUTTER_SIDEWALK,477.0400695800781,94.7890853881836,262.9456481933594,161.28807067871094,0.42669233679771423
9,ff22fbd2212505b594b65615746d2729.jpg,CLUTTER_SIDEWALK,131.41439819335938,1.6139384508132935,248.35458374023438,148.2048797607422,0.4190378785133362
3,fec27f3f16b48d29c919b06888c79305.jpg,GARBAGE,840.9127807617188,714.5377807617188,244.25411987304688,163.42242431640625,0.6055223941802979
3,fec27f3f16b48d29c919b06888c79305.jpg,GARBAGE,893.23095703125,795.7498168945312,261.4336242675781,190.23208618164062,0.5613612532615662
2,fec27f3f16b48d29c919b06888c79305.jpg,POTHOLES,820.2573852539062,507.0496520996094,442.9046325683594,275.9148254394531,0.41020047664642334
0,fe96e7ed9ef749b69d0b74096011cf75.jpg,GRAFFITI,689.9033813476562,366.60955810546875,272.0019836425781,110.92645263671875,0.7570124864578247
0,fe96e7ed9ef749b69d0b74096011cf75.jpg,GRAFFITI,960.0,772.4769897460938,274.7641906738281,110.92813873291016,0.7305370569229126
0,fe96e7ed9ef749b69d0b74096011cf75.jpg,GRAFFITI,300.164794921875,168.4958953857422,227.1514434814453,146.7967987060547,0.7094467282295227
0,fe96e7ed9ef749b69d0b74096011cf75.jpg,GRAFFITI,829.7914428710938,681.8319702148438,254.20361328125,137.6953887939453,0.6611360907554626
0,fe96e7ed9ef749b69d0b74096011cf75.jpg,GRAFFITI,869.2811279296875,551.4202270507812,256.8811340332031,125.84945678710938,0.649080753326416
0,fe96e7ed9ef749b69d0b74096011cf75.jpg,GRAFFITI,737.8496704101562,587.0240478515625,240.12515258789062,137.546630859375,0.6276785731315613
,fe4aa65fe506e2f73e9fdd096166c5c7.jpg,,,,,,
3,fe250f3ebe247fca8c2bda6cbba34f93.jpg,GARBAGE,821.9754638671875,734.4126586914062,391.7670593261719,329.4502868652344,0.6105130910873413
